ID,Device Name
10866,{storage-tp-10-112-11-213} (10.112.11.213) [EdgeCore_AS7712-32X] @Rack_L16  [TP-GF]
10871,{storage-cdc-tp-10-112-11-214} (10.112.11.214) [EdgeCore_AS7712-32X] @Rack_L15  [TP-GF]
4547,{fwp-jp-172-60-60-193} (172.60.60.193) [FortiGate-100F] @Rack_05 [CDC-105]
4559,{fws-jp-172-60-60-194} (172.60.60.194) [FortiGate-100F] @Rack_06 [CDC-105]
10252,192.168.101.235
4640,{fws-jp-172-60-60-24} (172.60.60.24) [FortiGate-100F] @Rack_03 [CDC-105]
4651,{fwp-jp-172-60-60-23} (172.60.60.23) [FortiGate-100F] @Rack_02 [CDC-105]
8580,{mgmt-jp-192-168-99-251} (192.168.99.251) [Cisco WS-C3850-48P-E] @Rack_XX
8582,{mgmt-jp-192-168-99-252} (192.168.99.252) [WS-C3850-48P-E] @Rack_XX
10366,{mgmt-jp-192.168.99.234} (192.168.99.234) HUAWEI{ S5720-56C-EI-DC}
10372,192.168.101.234
2769,{fws-tp-192-168-101-1} (192.168.101.1) [FortiGate-60F] @Rack_L16 [TP-GF]
7706,{fwp-gc-192-168-100-1} (192.168.100.1) [FortiGate-100F] @Rack_XX
10241,{mgmt-jp-192.168.99.235} (192.168.99.235) HUAWEI{S5720-56C-EI-DC}
9967,{TP-CAAS-101-244} (192.168.101.244)(SECONDARY_ROUTER)[Cisco C1111-8P Chassis] @Rack_XX
8428,{mgmt-jp-192-168-99-252} (192.168.99.252) [WS-C3850-48P-E] @Rack_XX
8461,{mgmt-jp-192-168-99-251} (192.168.99.251) [Cisco WS-C3850-48P-E] @Rack_XX
10447,{SFT-CAAS-10-246} (192.168.10.246)([C1000-24T-4X-L] @Rack_
10969,
11002,
11003,
4548,{fwp-jp-172-60-60-193} (172.60.60.193) [FortiGate-100F] @Rack_05 [CDC-105]
4560,{fws-jp-172-60-60-194} (172.60.60.194) [FortiGate-100F] @Rack_06 [CDC-105]
10367,{mgmt-jp-192.168.99.234} (192.168.99.234) HUAWEI{ S5720-56C-EI-DC}
4641,{fws-jp-172-60-60-24} (172.60.60.24) [FortiGate-100F] @Rack_03 [CDC-105]
4652,{fwp-jp-172-60-60-23} (172.60.60.23) [FortiGate-100F] @Rack_02 [CDC-105]
6531,{mgmt-gc-10-111-11-200} (10.111.11.200) [HUAWEI CE6881-48S6CQ ] @Rack_XX
10242,{mgmt-jp-192.168.99.235} (192.168.99.235) HUAWEI{S5720-56C-EI-DC}
10253,192.168.101.235
10970,
4642,{fws-jp-172-60-60-24} (172.60.60.24) [FortiGate-100F] @Rack_03 [CDC-105]
4653,{fwp-jp-172-60-60-23} (172.60.60.23) [FortiGate-100F] @Rack_02 [CDC-105]
10368,{mgmt-jp-192.168.99.234} (192.168.99.234) HUAWEI{ S5720-56C-EI-DC}
6532,{mgmt-gc-10-111-11-200} (10.111.11.200) [HUAWEI CE6881-48S6CQ ] @Rack_XX
10243,{mgmt-jp-192.168.99.235} (192.168.99.235) HUAWEI{S5720-56C-EI-DC}
10254,192.168.101.235
4635,{fws-jp-172-60-60-22} (172.60.60.22) [FortiGate-80F] @Rack_03 [CDC-105]
4701,{fwp-jp-172-60-60-21} (172.60.60.21) [FortiGate-80F] @Rack_02 [CDC-105]
10706,{asr-wr-jp-172-60-60-221} (172.60.60.221) [ASR1002-X Chassis] @Rack_05 [CDC-105]
6533,{mgmt-gc-10-111-11-200} (10.111.11.200) [HUAWEI CE6881-48S6CQ ] @Rack_XX
4549,{fwp-jp-172-60-60-193} (172.60.60.193) [FortiGate-100F] @Rack_05 [CDC-105]
4561,{fws-jp-172-60-60-194} (172.60.60.194) [FortiGate-100F] @Rack_06 [CDC-105]
10244,{mgmt-jp-192.168.99.235} (192.168.99.235) HUAWEI{S5720-56C-EI-DC}
10996,{storage-tp-10-112-11-213} (10.112.11.213) [EdgeCore_AS7712-32X] @Rack_L16  [TP-GF]
10869,{storage-cdc-tp-10-112-11-214} (10.112.11.214) [EdgeCore_AS7712-32X] @Rack_L15  [TP-GF]
4636,{fws-jp-172-60-60-22} (172.60.60.22) [FortiGate-80F] @Rack_03 [CDC-105]
4702,{fwp-jp-172-60-60-21} (172.60.60.21) [FortiGate-80F] @Rack_02 [CDC-105]
6534,{mgmt-gc-10-111-11-200} (10.111.11.200) [HUAWEI CE6881-48S6CQ ] @Rack_XX
6521,{mgmt-gc-192-168-100-242} (192.168.100.242) [SG350X-48-K9] @Rack_XX
9138,{mgmt-jp-10-100-11-55} (10.100.11.55) HUAWEI CE6860-48S8CQ-EI @Rack_XX
8029,{isp-gc-192-168-100-248} (192.168.100.248) [EdgeCoreS5520-18X] @Rack_D3
5330,
9202,{mgmt-jp-10-100-11-56} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX
9141,{mgmt-jp-10-100-11-55} (10.100.11.55) HUAWEI CE6860-48S8CQ-EI @Rack_XX
9210,{mgmt-jp-10-100-11-56} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX
9773,(fwp-tp-10-112-11-247)(10.112.11.247) [FortiGate-200F] @Rack_ [  ]
9795,(fws-tp-10-112-11-248)(10.112.11.248) [FortiGate-200F] @Rack_ [  ]
7946,{isp-gc-192-168-100-247} (192.168.100.247) [EdgeCoreS5520-18X] @Rack_D2
9142,{mgmt-jp-10-100-11-55} (10.100.11.55) HUAWEI CE6860-48S8CQ-EI @Rack_XX
9212,{mgmt-jp-10-100-11-56} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX
9143,{mgmt-jp-10-100-11-55} (10.100.11.55) HUAWEI CE6860-48S8CQ-EI @Rack_XX
7979,{asr-wr-jp-172-60-60-221} (172.60.60.221) [ASR1002-X Chassis] @Rack_05 [CDC-105]
10977,
9213,{mgmt-jp-10-100-11-56} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX
8464,{mgmt-jp-192-168-99-251} (192.168.99.251) [Cisco WS-C3850-48P-E] @Rack_XX
8432,{mgmt-jp-192-168-99-252} (192.168.99.252) [WS-C3850-48P-E] @Rack_XX
7684,{fwp-tp-10-112-11-245} (10.112.11.245) [FortiGate-200F] @Rack_K13  [TP-GF]
7687,{fws-tp-10-112-11-246} (10.112.11.246) [FortiGate-200F] @Rack_L15  [TP-GF]
9774,(fwp-tp-10-112-11-247)(10.112.11.247) [FortiGate-200F] @Rack_ [  ]
9780,(fwp-tp-10-112-11-247)(10.112.11.247) [FortiGate-200F] @Rack_ [  ]
9796,(fws-tp-10-112-11-248)(10.112.11.248) [FortiGate-200F] @Rack_ [  ]
10978,
10657,{asr-wr-jp-172-60-60-221} (172.60.60.221) [ASR1002-X Chassis] @Rack_05 [CDC-105]
9214,{mgmt-jp-10-100-11-56} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX
4623,{fwp-gc-10-111-11-243} (10.111.11.243) [FortiGate-200F] @Rack_XX
4629,{fws-gc-10-111-11-244} (10.111.11.244) [FortiGate-200F] @Rack_XX
2719,{fwp-tp-10-112-11-241} (10.112.11.241) [FortiGate-200F] @Rack_L16  [TP-GF]
2730,{fws-tp-10-112-11-242} (10.112.11.242) [FortiGate-200F] @Rack_L15  [TP-GF]
8465,{mgmt-jp-192-168-99-251} (192.168.99.251) [Cisco WS-C3850-48P-E] @Rack_XX
8433,{mgmt-jp-192-168-99-252} (192.168.99.252) [WS-C3850-48P-E] @Rack_XX
4578,{fwp-jp-172-60-60-195} (172.60.60.195) [FortiGate-100F] @Rack_05 [CDC-105]
4597,{fws-jp-172-60-60-196} (172.60.60.196) [FortiGate-100F] @Rack_06 [CDC-105]
9144,{mgmt-jp-10-100-11-55} (10.100.11.55) HUAWEI CE6860-48S8CQ-EI @Rack_XX
