Device Name,Sensor ID,Sensor Type
{mgmt-tp-10-112-11-201} (10.112.11.201) [CISCO-WS-C3750X-48P] @Rack_L16 [TP-GF],2928,Syslog Receiver
{mgmt-tp-10-112-11-201} (10.112.11.201) [CISCO-WS-C3750X-48P] @Rack_L16 [TP-GF],5062,SNMP Cisco System Health
{mgmt-tp-10-112-11-201} (10.112.11.201) [CISCO-WS-C3750X-48P] @Rack_L16 [TP-GF],5064,SNMP Cisco System Health
{mgmt-tp-10-112-11-201} (10.112.11.201) [CISCO-WS-C3750X-48P] @Rack_L16 [TP-GF],5066,SNMP Cisco System Health
{mgmt-tp-10-112-11-201} (10.112.11.201) [CISCO-WS-C3750X-48P] @Rack_L16 [TP-GF],5065,SNMP Cisco System Health
{mgmt-tp-10-112-11-201} (10.112.11.201) [CISCO-WS-C3750X-48P] @Rack_L16 [TP-GF],5063,SNMP Cisco System Health
{mgmt-tp-10-112-11-201} (10.112.11.201) [CISCO-WS-C3750X-48P] @Rack_L16 [TP-GF],5374,SNMP Traffic
{mgmt-tp-10-112-11-201} (10.112.11.201) [CISCO-WS-C3750X-48P] @Rack_L16 [TP-GF],5375,SNMP Traffic
{mgmt-tp-10-112-11-201} (10.112.11.201) [CISCO-WS-C3750X-48P] @Rack_L16 [TP-GF],5376,SNMP Traffic
{mgmt-tp-10-112-11-201} (10.112.11.201) [CISCO-WS-C3750X-48P] @Rack_L16 [TP-GF],5377,SNMP Traffic
{mgmt-tp-10-112-11-202} (10.112.11.202) [CISCO-WS-C3750X-48P] @Rack_L15 [TP-GF],3897,SNMP System Uptime
{mgmt-tp-10-112-11-202} (10.112.11.202) [CISCO-WS-C3750X-48P] @Rack_L15 [TP-GF],3898,SNMP Traffic
{mgmt-tp-10-112-11-202} (10.112.11.202) [CISCO-WS-C3750X-48P] @Rack_L15 [TP-GF],3905,SNMP Traffic
{mgmt-tp-10-112-11-202} (10.112.11.202) [CISCO-WS-C3750X-48P] @Rack_L15 [TP-GF],3906,SNMP Traffic
{mgmt-tp-10-112-11-202} (10.112.11.202) [CISCO-WS-C3750X-48P] @Rack_L15 [TP-GF],3907,SNMP Traffic
{mgmt-tp-10-112-11-202} (10.112.11.202) [CISCO-WS-C3750X-48P] @Rack_L15 [TP-GF],3908,SNMP Traffic
{mgmt-tp-10-112-11-202} (10.112.11.202) [CISCO-WS-C3750X-48P] @Rack_L15 [TP-GF],3899,SNMP Traffic
{mgmt-tp-10-112-11-202} (10.112.11.202) [CISCO-WS-C3750X-48P] @Rack_L15 [TP-GF],3911,SNMP Cisco System Health
{mgmt-tp-10-112-11-202} (10.112.11.202) [CISCO-WS-C3750X-48P] @Rack_L15 [TP-GF],3913,SNMP Cisco System Health
